2024/12/03 09:13:21 [notice] 1#1: using the "epoll" event method
2024/12/03 09:13:21 [notice] 1#1: nginx/1.27.3
2024/12/03 09:13:21 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2024/12/03 09:13:21 [notice] 1#1: OS: Linux 5.15.167.4-microsoft-standard-WSL2
2024/12/03 09:13:21 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/12/03 09:13:21 [notice] 1#1: start worker processes
2024/12/03 09:13:21 [notice] 1#1: start worker process 22
2024/12/03 09:13:21 [notice] 1#1: start worker process 23
2024/12/03 09:13:21 [notice] 1#1: start worker process 24
2024/12/03 09:13:21 [notice] 1#1: start worker process 25
2024/12/03 09:13:21 [notice] 1#1: start worker process 26
2024/12/03 09:13:21 [notice] 1#1: start worker process 27
2024/12/03 09:13:21 [notice] 1#1: start worker process 28
2024/12/03 09:13:21 [notice] 1#1: start worker process 29
2024/12/03 09:13:21 [notice] 1#1: start worker process 30
2024/12/03 09:13:21 [notice] 1#1: start worker process 31
2024/12/03 09:13:21 [notice] 1#1: start worker process 32
2024/12/03 09:13:21 [notice] 1#1: start worker process 33
2024/12/03 09:13:21 [notice] 1#1: start worker process 34
2024/12/03 09:13:21 [notice] 1#1: start worker process 35
2024/12/03 09:13:21 [notice] 1#1: start worker process 36
2024/12/03 09:13:21 [notice] 1#1: start worker process 37
